Gene ID	Associated Gene Name
ENSG00000273686	B2M
ENSG00000146374	RSPO3
ENSG00000145675	PIK3R1
ENSG00000196090	PTPRT
ENSG00000166710	B2M
ENSG00000135679	MDM2
ENSG00000100644	HIF1A
ENSG00000141646	SMAD4
ENSG00000164754	RAD21
ENSG00000100393	EP300
ENSG00000133703	KRAS
ENSG00000103126	AXIN1
ENSG00000157764	BRAF
ENSG00000273993	PTPRK
ENSG00000151532	VTI1A
ENSG00000163513	TGFBR2
ENSG00000257923	CUX1
ENSG00000166949	SMAD3
ENSG00000142208	AKT1
ENSG00000104517	UBR5
ENSG00000116062	MSH6
ENSG00000177565	TBL1XR1
ENSG00000065559	MAP2K4
ENSG00000169032	MAP2K1
ENSG00000121879	PIK3CA
ENSG00000109670	FBXW7
ENSG00000148737	TCF7L2
ENSG00000147655	RSPO2
ENSG00000104408	EIF3E
ENSG00000168646	AXIN2
ENSG00000152894	PTPRK
ENSG00000112531	QKI
ENSG00000183454	GRIN2A
ENSG00000141510	TP53
ENSG00000175387	SMAD2
ENSG00000095002	MSH2
ENSG00000134982	APC
ENSG00000177084	POLE
ENSG00000076242	MLH1
ENSG00000168036	CTNNB1
