Gene Symbol	Name	Entrez GeneId	Genome Location	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	1956	7:55019278-55205617	7p12.3-p12.1	yes	yes	"glioma, NSCLC"	NSCLC	familial lung cancer	"E, O"	Dom		"A, O, Mis"				"mENA,EGFR,1956,ENSG00000146648,P00533,ERBB1,ERBB"
GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	2903	16:9763149-10180411	16p13.2	yes		"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma"			E	Rec		"Mis, N, F, O"		yes	Focal epilepsy and speech disorder with or without mental retardation	"Q12879,2903,GRIN2A,ENSG00000183454,NMDAR2A,NR2A"
HIF1A	hypoxia inducible factor 1 alpha subunit	3091	14:61695805-61747085	14q23.2	yes		"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic"			"E, O"	Dom	oncogene	"Mis, F, N"				"Q16665,3091,HIF1A,ENSG00000100644,MOP1,HIF1-ALPHA,PASD8,HIF-1alpha"
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	3845	12:25209795-25245384	12p12.1	yes		"pancreatic, colorectal, lung, thyroid, AML, other tumour types"			"L, E, M, O"	Dom	oncogene	Mis				"C-K-RAS,KRAS,3845,P01116,NS3,KI-RAS,KRAS2,K-RAS4A,K-RAS2A,K-RAS4B,KRAS1,K-RAS2B,RASK2"
MALAT1	"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)"	378938	11:65502644-65502817	11q31.1	yes		"renal cell carcinoma (childhood epithelioid), lung"			E	Dom		T	TFEB			"PRO1073,MALAT1,378938,Q9UHZ2"
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	4610	1:39900814-39901434	1p34.2	yes		small cell lung carcinoma			E	Dom		A				"LMYC,4610,MYCL1,MYCL,ENSG00000116990,MYCL"
NOTCH1	"Notch homolog 1, translocation-associated (Drosophila) (TAN1)"	4851	9:136496071-136545786	9q34.3	yes		"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC"			"L, E"	Dom/Rec	oncogene/TSG	"T, Mis, O"	"TRB, SEC16A, GABBR2"			"TAN1,NOTCH1,P46531,4851,ENSG00000148400,hN1"
PTPN13	"protein tyrosine phosphatase, non-receptor type 13"	5783	4:86635257-86814551	4q21.3	yes	yes	"lung, NSCLC, gastric, peritoneal carcinomatosis"	hepatocellular	Familial Hepatocellular Carcinoma	E	Rec	TSG	"Mis, N"				"PTP1E,PTPN13,5783,ENSG00000163629,PTPLE,PTPL1,PNP1,PTP-BAS,DKFZp686J1497,Q12923,FAP-1,PTP-BL"
PTPRT	"protein tyrosine phosphatase, receptor type T"	11122	20:42080879-43189733	20q12-q13	yes		"HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma"			E		TSG	"Mis, N"				"KIAA0283,11122,PTPRT,ENSG00000196090,O14522,RPTPrho,RP5-1121H13_2"
RAD21	RAD21 homolog (S. pombe)	5885	8:116847500-116866729	8q24.11	yes		"AML, endometrium, colorectal, lung"			"L, E"	Rec		"Mis, N, F"		yes	Cornelia de Lange syndrome-4	"HR21,RAD21,5885,ENSG00000164754,KIAA0078,FLJ25655,hHR21,MCD1,O60216,NXP1,HRAD21,FLJ40596,SCC1"
RB1	retinoblastoma gene	5925	13:48303913-48480071	13q14	yes	yes	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	familial retinoblastoma	"L, E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"OSRC,ENSG00000139687,RB1,5925,RB,P06400"
RBM10	RNA binding motif protein 10	8241	X:47147482-47186599	Xp11.3	yes		lung adenocarcinoma			E	Rec/X	TSG	"Mis, F, N"		yes	TARP syndrome	"GPATC9,8241,RBM10,ENSG00000182872,CTD-2522E6_5,GPATCH9,KIAA0122,P98175,MGC1132,DXS8237E,ZRANB5,MGC997"
STRN	"striatin, calmodulin binding protein"	6801	2:36849456-36966463	2p22.2	yes		"anaplastic thyroid, papillary thyroid, lung"			E	Dom		T	ALK			"ENSG00000115808,6801,STRN,O43815,SG2NA,MGC125642"
TP53	tumor protein p53	7157	17:7669609-7676594	17p13	yes	yes	"breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types"	"breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types"	Li-Fraumeni syndrome	"L, E, M, O"	Rec	oncogene/TSG	"Mis, N, F, T"	NTRK1			"TRP53,7157,TP53,ENSG00000141510,P04637,LFS1,P53,p53"
